         22296485 function calls (22295808 primitive calls) in 80.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 {method 'select_seq' of 'builtins.PyLazyFrame' objects}
     67/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1462    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      264    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/expr.py:10850(str)
       48    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:1857(to_frame)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      312    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/parse/expr.py:117(_parse_inputs_as_iterable)
       72    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:5202(with_columns)
       50    0.000    0.000    0.000    0.000 {method 'stat' of 'posix.DirEntry' objects}
       24    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/io/csv/functions.py:1359(_scan_csv_impl)
    58/11    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
      312    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:1141(__mul__)
       72    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/schema.py:42(_check_dtype)
      168    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/string.py:2146(slice)
      312    0.000    0.000    0.002    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/parse/expr.py:78(parse_into_list_of_expressions)
      336    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:358(_from_pyseries)
      505    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:986(_arithmetic)
      192    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:8473(get_column)
       96    0.000    0.000    0.000    0.000 {method 'cast' of 'builtins.PyExpr' objects}
       28    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:10774(row)
       25    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/csv2drf.py:240(__cleanup_metadata)
       72    0.000    0.000    0.000    0.000 {method 'with_columns' of 'builtins.PyLazyFrame' objects}
       72    0.000    0.000    0.000    0.000 {method 'len' of 'builtins.PySeries' objects}
       24    0.000    0.000    0.000    0.000 {method 'str_to_datetime' of 'builtins.PyExpr' objects}
       96    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/wrap.py:16(wrap_ldf)
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/datatypes/convert.py:337(maybe_cast)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/string.py:90(to_datetime)
      480    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/numpy/core/_internal.py:525(_view_is_safe)
       24    0.000    0.000    0.000    0.000 {method 'slice' of 'builtins.PySeries' objects}
       51    0.000    0.000    0.000    0.000 {built-in method posix.open}
       24    0.000    0.000    1.497    0.062 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:926(__array__)
      830    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'mul_i64' of 'builtins.PySeries' objects}
      626    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       24    0.000    0.000    0.000    0.000 {method 'row_tuple' of 'builtins.PyDataFrame' objects}
       72    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/expr.py:155(__add__)
      192    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:1225(__getitem__)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:1357(__array__)
      408    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:329(_from_pyldf)
     1466    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/files.py:591(__enter__)
       24    0.000    0.000    0.012    0.001 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:2255(collect_schema)
      312    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/parse/expr.py:130(_is_iterable)
       48    0.000    0.000    0.000    0.000 {method 'lazy' of 'builtins.PyDataFrame' objects}
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/slice.py:52(_slice_setup)
      192    0.000    0.000    0.008    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:4283(to_numpy)
       28    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
       72    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/string.py:2398(to_integer)
      144    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:493(_from_pydf)
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:7527(str)
       24    0.000    0.000    1.497    0.062 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/dataframe/frame.py:1740(to_numpy)
       72    0.000    0.000    0.000    0.000 {method 'str_to_integer' of 'builtins.PyExpr' objects}
      500    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      168    0.000    0.000    0.000    0.000 {method 'str_slice' of 'builtins.PyExpr' objects}
      181    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       52    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      144    0.000    0.000    0.000    0.000 {method 'dtype' of 'builtins.PySeries' objects}
      168    0.000    0.000    0.000    0.000 {method 'alias' of 'builtins.PyExpr' objects}
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/string.py:210(strptime)
       96    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/expr.py:1741(cast)
      165    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
      641    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      168    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/expr.py:677(alias)
      192    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/lazy.py:512(first)
       72    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:4673(len)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      284    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/group.py:348(__getitem__)
    27/26    0.000    0.000    0.002    0.000 <frozen os>:200(makedirs)
       51    0.000    0.000    0.000    0.000 {built-in method posix.fstat}
       37    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
